bundleid;store;app_title;description;dev_name;dev_id;fullprice;versionnumber;osreq;latest_patch;content_rating
com.kingStudio.extreme.ballbalance3D.freeGames;android;Extreme Ball Balance 3D;Extreme Ball Balance 3D is a balancing game from impossible traps. There are some challenging tracks to roll the ball from one point and reach to the other end by crossing obstacles safely. This is very risky to control ball on floating bridge balance. Different hurdles may cause you to restrict going ahead towards finishing point. But you should not lose control over the impossible track ball. After passing one level the next level coming to it become harder and harder. In this Extreme Ball Balance 3D game, there will be new challenging traps, steep slopes, barriers, bends, hammers and dangerous areas to escape from.Impossible ball runner game will take you engaged for long hours. Enjoy all the bridge balance game levels to balance the ball on impossible tracks. There are 10 different tracks for hell ball runner challenge. You can be the best scorer or coin collector of this ball balancer mania. Its thrilling game play provided quality graphics and environment best of all other balance games.Extreme Ball Balance 3D Game Features:-	10 Different wooden tracks for ball-	Best game play with stunning graphics and environment-	Astonishing animations with thrilling impossible tracks ball runner-	Different variety of balls in this balancing game-	Easy controls and user friendly interfaceDownload Extreme Ball Balance 3D to enjoy balancing impossible tracks and become an ultimate ball balancer. Never forget to rate and give your precious feedback for more improvements.;King Studio free games;5879555773366911073;00;1.0;4.4 and up;2018-10-19;['Everyone']
com.fl.flappy.ball.classic.pstr;android;3D Flappy Ball Classic;Best Classic Flappy 3D Ball for android in playstore, Special game for flappy ball game which can able to give you fully entertainment to play. Using the now famous "flap" mechanic you must get to the hole in the fewest flaps as possible!Classic Games Ball is a games collection app that contains many addictive games. Its remember like Pool Ball Classic game in android, Experience the fun to be a Master in Flappy Ball! Best of all, it’s totally FREE! Realistic 3D ball animation. Enjoy with "Balance Classic Ball" game.Rolling classic ball with best foot gear. Color line classic ball,Football or basket ball viewer on 3D graphics. Rapid speed ball balance on classic player.Features:!) Free 3D Flappy Ball Classic.!) Compatible with all tabs and mobile devices.!) Easy to move each other.!) You need to maintain the speed and movement.!) All direction you can move for reach to the target.!) Total 9 Levels available for your challenge.!) Exciting and Fun levels.!) Move left, right, top, bottom by key.!) No need for internet connection.;Free 3DGame;Free+3DGame;00;1.7;4.1 and up;2017-12-03;['Everyone']
com.nenoff.followthelinefree;android;Follow the Line 2D Deluxe;Follow the Line 2 D Deluxe is one of the best line games you can play with your skillful finger. Go fast through the randomly generated maze and try to follow the dancing line. Don't touch the borders and be aware of the rolling obstacles. Gp as far as you can, avoid the obstacles and unlock new challenges. Follow the path in the sky and try to be the best, test your skills with your skillful fingers and see which one of your friends can run faster and set a new record!To be good in this game, you don’t only need a skillful finger, but also quick reflexes and precision. Don't be a troll that slithers slowly on the line until his fingers are butchered by the moving obstacles! Often you will have to dance around the rolling obstacles with time rushing and the line slither away. Move like a snake through the narrow passages and slither between the moving obstacles in the sky as fast as you can to win. Unlock new levels, complete daily challenges and collect coins and gems.Use the awesome powers helping you on your journey to keep rolling and rolling forward and beat the high score of your friends.Show your high score to the world through the integrated google games play games services leaderboard.Click now on the ball and start the race. Follow the line with your thumb and show everybody what hero you can be!NEW! RPG elements added! Complete Quests and Missions and get great rewards!How to play:* Touch the ball to start rolling* Raise your finger to pause the game, but be aware of the moving monster obstacles or they will say mmm tasty and will cut your fingers for breakfast* Stay on the line and don’t touch the borders* Dance around the moving obstacles and avoid touching them* Collect coins and gems to upgrade your abilities and resurrect when you die* Use the powers to survive longer and beat the high scoreFeatures:* Every time a different maze to run* Smooth gameplay* Easy gameplay with only one skillful finger* Great graphics & effects on any screen size* Dynamic obstacles* Amazing sound effects and music* Lots of new levels to unlock* Leaderboard trough the google play games services* Facebook integration (brag on Facebook how good you are)* Gems to collect and use to resurrect after crash* Wings power up - now you can also leave the line for a short period of time* Snail power up - take a break for a short period of time and slither slower before the next acceleration* Score multiplier power up - doubles your score earning for a short period of time* Shield power up – protects you from the moving parts for a short period of time* Collect coins and upgrade your favorite power up* Complete daily challenges to get even more surprises* RPG elements: complete quests and missions and get extra great rewards;Nenoff - fun time killing Mobile Games Deluxe;8759329978782207880;00;25;4.1 and up;2019-06-01;['Everyone']
com.xuet.rolltheballrollingbalance3d;android;Roll The Ball Rolling Balance 3D;You will love this Rolling Ball game with great sensor controller. You can control the ball with motion sensor. You can complete the level by reaching the destination. Rolling Ball have 50 levels. You will have so much fun with realistic 3D physics engine. Have Fun! Good Luck!Game Features:- Exciting and Fun levels!- It's a FREE game!- Compatible with all tabs and mobile devices.- Classic gameplay- No time limits- Play ball game!;GoodStudy Games;GoodStudy+Games;00;1.0;2.3 and up;2017-11-20;['Everyone']
com.kuttigames.tenkyurollball;android;Roll Tenkyu Ball Into Hole;How To Play And Pass Tenkyu Puzzles?✦Just Drag up and down to roll the ball through a 3D world to reach the goal!Carefully maneuver through all 50 stages.✦Swipe your finger and tilt the stage and roll the ball to balance the ball and clear maze.Avoid Falling due to the gravity and stay on the platform of the maze stage.✦there will be blocks and bricks on the stage , so you have to slither like snake to carefully doge✦stage is always idle and u can flip , rotate the stage by dragging up,down,left and right.✦don't crash on cubes, spikes and bombs otherwise balls will be crushed and pop.✦each level is divided into few sub levels to make game more short and snackable , as u pass a sub level ball will fly from sky to next stage and hit on it and you have to fill that ball into the black hole to clear the puzzle.Features of Roll Tenkyu Ball Into Hole:✦journey through the tenkyu ball world and every new level comes with colorful ballz and stages ,with hoops and colorful roads.✦levels are stacked on eachother and ball jumps to next level.✦many unique puzzles filled with  twisty ,bendy and helix shaped platforms.;Catobilli;Catobilli;00;.7;4.1 and up;2019-02-08;['Everyone']
ru.empiregames.maze3d;android;Maze World 3D;Maze World 3D - puzzle and adventure, you need to find the exit in the maze, collecting bonuses and keys along the way.Game features:★ 40 levels, divided by the area type★ Easy to play: forward, turn left and right controls★ Use game objects - keys, doors, coins★ Mini-map★ Rating system: collect all coins in the level and find the exit in a fast time to get the maximum rating;Empire games;Empire+games;00;1.2.4;4.0 and up;2017-05-18;['Everyone']
com.jksol.balance.flappy.ball.classic;android;3D Balling Resurrection;Balance Ball provides fantastic game play and accurate physics for Balance Ball enthusiasts.3D Balling Resurrection is dynamic balance bar control ball game.3D balling resurrection is goalball for ball control.Ball resurrection control ball bar, ball control bar, dragon ball, simple ball, effect ball move.3D Balling Resurrection is balling game to fully balancing in creative path. In Balance 3D game, you are to operate a ball, simultaneously keeping its balance.Features:- Free 3D Flappy Ball Classic.- Ball is a 3D puzzle, logic, Realistic 3D ball animation and balance game.- Control the ball to travel through the path and reach the goal portal within limited time.- Classic gameplay, Deep atmosphere, Modern graphics, Realistic physics, Intuitive controls.- You need to maintain the speed and movement.- All direction you can move for reach to the target.- Total 10 Levels available for your challenge.- Exciting and Fun levels.- Move left, right, top, bottom by key.3D Balling Resurrection is introduce by excited madonna redball through checkpoint and controlling slap to passed blown atmosphere.Best 3D Balling Resurrection game for android in playstore, Special speedball for "Balance Classic Ball" game which can able to give you fully entertainment to play balanced. Rolling classic ball with best foot gear. Color line classic ball, Football or basket ball viewer on 3D graphics. Rapid speed ball balance on classic player.Rapid speed ball balance on classic player.Balance Ball is a free ball balance 3D game combining the elements of arcade and puzzle, where an errant ball is the only character. Every new stage will bring you new challenges: steep slopes and bends, dangerous areas, barriers - there is no time for boredom.Tags: balance, balance, ball, balling, 3D;snappy studio;snappy+studio;00;1.5;4.1 and up;2018-06-13;['Everyone']
com.Hamster.Pet.House.Decorating.Games.PGA;android;Hamster Pet House Decorating Games;🐹 Throw a glance at our new“hamster house”of fun and you will get so many interior design ideas for your own pet hotel. If you thought one simple mouse maze would be enough to complete your animal cage design, you are so far from the truth. Let our🏡 Hamster Pet House Decorating Games 🏡show you just how much fun creating your own animal mansion could be! It is not one of those mere room cleaning games. You and your cute hamsters deserve so much more! Do your virtual guinea pig a favor and provide him with the sweet home makeover. Unlike other“pet house games”, for girls this one is focused on making small“hamster cages”even more fun to live in. With this“home decoration games”you will fill up their little nest with all kinds of hamster toys. 🐹🏠 Do not look for a better animal house design. You won't find one. 🏠🧀 Enter your new virtual home and pick a room design!🧀 Meet your new friends – golden hamster and different fluffy pets!🧀 Create your dream house and play room with hamster maze – chose home design you want!🧀 Match and mix various miniature furniture items and home decorations to create a magical hamster farm!🧀 Extremely easy to use: just touch the items and drag them wherever you want🧀 Take a photo, share it across all social networks and boast of your cute pet home!🧀 All this and much more awaits you only in🏡 Hamster Pet House Decorating Games 🏡free of charge!🏠 Make each day a new adventure for your“hamster pet”animals! 🏠🐹 Create an animal dollhouse unlike any other! Download our“pet games for girls”and make the wildest dreams of your kawaii hamster come true. If you are lucky to have guinea pigs as pets, you should do everything you can to make them happy and comfortable. Our latest virtual“house design games”will bring so much joy to your panda hamster. Build him the best animal castle! Do not hold back! His guinea pig life will be anything but boring after you decorate pet house. When you put all of the furniture and toys around, that is when the party starts! My“pet house decorating games”are perfect for you! 🐹🏠 You can download“pet hamster games”for free and have so much fun! 🏠🐹 Let us introduce you to the best guinea pig simulator out there! Instal your own hamster wheel and decide on your pet house decoration. Find out how to design your home and watch over your hamster animal in less than a minute. Home interior design app is taking control over your white hamster simulator. These are not typical“animal house games”. Take care of your own pet thanks to our🏡 Hamster Pet House Decorating Games 🏡! Let him be. May he enjoys his new home. The only thing you can do is to join him, and have a blast with these“guinea pig games”free! 🐹🏠 Decorate your fancy hamster mansion with our pet hotel games! 🏠🐹 There is nothing wrong with having hamsters in a house. As long as you decorate your own house the right way. If you like to play cute animal games for girls, you will love what we have to offer!🏡 Hamster Pet House Decorating Games 🏡is the best combination of everything you've ever desired to have. Now you can have fun creating a funny hamster hotel! A place like no other! Room decorating games that provide you with an amazing hamster care. Yes, you read that right. Create extremely comfortable and filled with love“guinea pig house”and he will be forever grateful! 🐹;Pink Girly Apps;Pink+Girly+Apps;00;4.0;4.1 and up;2018-11-14;['Everyone']
com.eivaagames.Bowling3DPro;android;Bowling 3D Pro FREE;Play the best bowling game in amazing realistic 3d graphics. Test your bowling skills in the NO 1 bowling game.Bowl more Strikes and become the bowling king.Flick forward with your finger to throw the ball and knock down the pins.Swipe across the screen to add spin to the ball.So download the most addicting 3d bowling game for FREE with HD graphics for your mobile now!3 Game Modes:Single PlayerPass n PlayVS. CPUFEATURES:● 16 unique custom bowling balls.● 3 Game Modes.● Customize the alley by choosing the wood and background mask you like.● Realistic Physics.● Stunning 3D graphics.● Each Player can choose their own ball.● Stats Screen.Get the latest news, deals, and more at:FACEBOOK: http://facebook.com/eivaagamesTWITTER: http://twitter.com/eivaagamesYOUTUBE: http://youtube.com/eivaagames;EivaaGames;5803646126051297915;00;1.8;4.1 and up;2018-11-30;['Everyone']
com.bitofgame.gyroball;android;Gyro Ball;Do you have the patience and skill to master Gyroball?This none stop, action packed, fast paced arcade game will really test your skills, you need to race through each course, without falling off, being blown up or off a platform. Can you reach the end?The physics are built to give you the best control possible over the situation, not only are the ball physics very responsive, but you also have control over the camera to give you a real indepth look at each tricky spot.It’s easy to learn to control Gyro Ball, but tricky to master, will you be one of those masters? Speed through each course and earn more stars the faster you complete it.This is essentially a marble roller game, but one that’s been pumping iron in the gym and certainly didn’t miss a leg day, if you love a good puzzle or skill game or even racing, I’m sure your skills will come in very handy for this arcade classic.Features:Easy controls, one finger moves the ball wherever you want to go.Physics that have been perfected to give you the best possible play.;Bit of Game;4928015747104013274;00;1.2;2.3 and up;2017-09-08;['Everyone']
com.arcticasoftware.unchained;android;The Unbeatable Game Unchained;The Unbeatable Game Unchained is a spin-off of our previous smash hit "The Unbeatable Game".This version is even harder and even more addicting than the original! To beat the game you'll need the balance of a mountain goat, the stubbornness of a mule and probably also a bionic arm.How to play: tilt your phone left/right to steer, don't hit the walls, try to get to the finish lineCan you do the impossible and make it to the end?Also check out the original, you can find the link down below under "More by Arctica Software".;Arctica Software;Arctica+Software;00;1.1.3.10;2.3 and up;2016-03-17;['Everyone']
com.funplaygames.squishytoys;android;Squishy Toys : Anti Stress Ball Simulator;Its calming and weirdly addictive!Squish bright anti stress ball to relieve or ease stress and relax. Tap and hold your finger to squish antistress ball toys.love stress balls because they are so relaxing to play with and It takes stress away to give Such satisfying experience.Choose one of the Kawaii Squishy toys and start squeezing or kneading like a dough or slimeThis popular squishy slime anti stress bright toys will calm nerves and relieve anxiety.Choose a  wide variety of antistress balls,eggs and kawaii toys to feel relieved and give comfort to your anxiety.just tap and hold squishys kawaii toys with your finger for fun and joy.How to play:Tap and hold your finger to squeeze the balls,eggs and kawaii toys.The selected  toys can be rotated and squeezed like an anti stress ballApp features:* Kawaii Squeezing anti stress toys* Calming apps with squishys balls and kawaii toys* Antistress ball toy - for kids and adults* Anxiety stress relief gamesEnjoy this clicker of fun for both Adult and Kids!;Fun Play Games;Fun+Play+Games;00;2.0;4.1 and up;2019-09-06;['Everyone']
au.com.espace.marbleMania;android;Marble Mania - Ball Maze;Guide the silver marble through the wooden maze by creating a path using the various shaped tiles while avoiding the obstacles. You’ll need to be quick though, because once the ball starts rolling it doesn’t stop. Sound simple?  You’ll also need to contend with ball warps, roll overs, moving turrets, machines, activation switches, sliding doors and multiball as you work through the puzzles.Marble Mania is the latest action puzzle game from the award winning indie game developer. If you enjoy challenging, entertaining and addictive puzzles mixed with frantic action then this brand new and original fresh game concept is for you.Game Features:- Simple and intuitive touch based gameplay. Requires sharp logic, fast thinking and quick fingers to master.- Contend with ball warps, roll overs, moving turrets, machines, activation switches, sliding doors and multiball as you work though the puzzles- A large selection of individually crafted puzzle boards for unlimited fun and challenge. More puzzles will be added in free future updates- Supports the following languages: English, French, German, Portuguese, Italian, Spanish, Russian, Greek, Turkish, Romanian, Arabic, Persian, Danish, Dutch, Norwegian and Finnish- Increasing difficulty as you progress through the puzzles- High quality images and animation that look great on High Definition (HD) and retina displays of both tablets and smart phones- Addictive fun with some brainteasers thrown in to keep the mind stimulated and entertained for hours.- Free to download and play a selection of the puzzles with a single in game upgrade to the full version that lets you play all current and future added puzzles.- Great fun for the whole family, adults and children alike. Gender neutral, appeals equally to boys and girls.Marble Mania was inspired by the early physics computer games, pinball machines and traditional 80s arcade slot machines. It combines manic graphical rolling and unrolling ballgame play with cognitive brain teasing puzzles that exercise, challenge, stimulate and sharpen the brain. Addictive electronic board game based fun for the whole family appealing to children of all ages as well as teenagers and adults, that will also challenge and stimulate the brain with brainteasers along the way.We hope you enjoy what we believe is one of the best exclusive new action puzzle games available on the app store today. To see our other multi-platform tablet and smart-phone apps please visit our website at http://espacepublishing.com;Espace Publishing;7597585547007246427;00;1.6;4.0 and up;2016-09-30;['Everyone']
com.enjoymobilgames.spiralball;android;Spiral Ball Mania - Bounce Ball Game;Spiral Ball Mania - Bounce Ball Game is super simple to learn yet insanely addictive to play. Try to experience the adventure of the bouncing ball through the helix tower labyrinth.Do you like Slides or Spiral ? Spiral Ball Mania - Bounce Ball Game is made for you!Spiral Ball Mania - Bounce Ball Game with crazy ball jump and very addictive game play. Jump and complete helix maze and level.Simple controls just slide the fingers right and left for the helix rotation and jump of the ball. Try to avoid the odd color spots helix and let the ball pass.HOW TO PLAY Spiral Ball Mania - Bounce Ball Game:* Rotate the helix maze by sliding your finger horizontally across your screen to guide the jumping ball through the gaps in the helix tower.* Be careful not to let the jumping ball hit the different planks in the helix maze or its game over!Do not miss your jump - do not fall off the edge! Spiral Ball Mania - Bounce Ball Game arcade tower bounce spiral is jumping bonus hoodoo bouncing.Infinitely slide down the helix, but be careful, you are not a kid anymore! Jump over the pits and obstacles, avoid objects shooting at you.Bit your high score and compete with others to hit the best score in the world!We hope you enjoy the new sensation that is Spiral Ball Mania - Bounce Ball Game and Give us thumbs up as feedback.Spiral Ball Mania - Bounce Ball Game Features :- Easy "One Touch" operation!- Always new generating helix levels for infinite jump fun!- Each stage is randomly generated to match your current level!- Achieve so-called helix combos for more points!- Maximize your helix combos to make platforms explode!- Compete with other players via the highscore leaderboard to compare your scores!- Get the first place to prove that you are the Jump King!- Do not jump on deadly obstacles!- Incredible ball bouncing game!;Sengor Mobil Games;Sengor+Mobil+Games;00;3;4.1 and up;2019-07-10;['Everyone']
com.enteriosoft.extremebalancer2;android;Extreme Balancer 2;Extreme Balancer 2 is an adventurous game in which you have to balance the ball and reach to the boat. The whole surrounding is full of water and you have to balance the ball on the wooden bridges and you have to find the way to boat. There are 15 exciting levels with each of unique maps.Extreme Balancer 2 comes with a great graphics and have more interesting levels than its first part. It also have much improved controls than its earlier part so you can balance the 3D ball much accurately.Rules: You have to balance the ball on wooden floor without falling in water. After every start of level, you are given 5 lives and after every fall until your health is over, you are respawn to the checkpoint. Make sure not to touch the red barrel otherwise it will explode. And by escaping all the obstacles you have to reach the boat.Enjoy!;Enteriosoft;8827829994088552831;00;1.8;4.1 and up;2018-07-23;['Everyone']
com.roll.the.ball.games3d.rollingball.balance;android;Balance Ball 3D;In 3D Rolling Ball - Balance Ball game, you are to operate a ball, simultaneously keeping its balance the ball. It is not so easy: your way runs over the clouds across narrow roads and air tunnels. 3D Rolling Ball is a free 3D game combining the elements of arcade and puzzle, where an errant ball is the only character is addictive 3d games. This story originated in the early 80s with the game. The main goal of the game is to pass through all levels and reach the maximum score.Features of 3D Rolling Ball - Balance Ball game# Classic gameplay# Deep atmosphere# Realistic physics# Intuitive controls# No time limit# Free-to-play# English-language support# Stunning Modern 3D graphics# State-of-the-art 3D physics engine for real pin action# 5 outrageous bowling scene# Multiple bowling balls games free in each scene# Detail stats trackingThis 3d balls game is ball vs galaxy in falling ball game as glow ball you will face so many obstacles that its like ball vs obstacle and ball control to ball escape falling balans balance game. The ball goes off gravity ball like box ball games for kids and have 3d fun.How to Play:# Drag the ball to the left or right to position the ball for your throw.# Flick the ball with your finger to bowl.# Gesture a curve the screen to throw all hook balls free.React fast, don't cross the edges of the field, lest you should slide down to the chasm! Intermediate results are not saved - if you fall it will bring you to the beginning of the level for 3D Rolling Ball - Balance Ball. Whole new balance game to free ball game which is having 3d maze and move the ball to enjoy is simple ball game. If you are not good at balancing you can fall down ball games. You only need to check stability balls 3d. This 3d balance the ball 3d rolling ball - balance ball. This bol is perfect game from various nice games among best ball game in this 3d puzzle and physics bouncing balls. Have maze ball to clear all the levels and you will forget all other rolling games in ball 3d.Download play game and give us a review for 3D Rolling Ball - Balance Ball.;Vasundhara Game Studios;Vasundhara+Game+Studios;00;1.10;4.1 and up;2019-07-16;['Everyone']
br.com.tapps.hamsterrescuesaga;apple;Hamster Rescue - Whack the Pet Hamster Ball;Get your mighty mallet because it’s rescue time! Test your reflexes and do your best to save the pet hamsters from the laboratory. Have fun with this rendition of the classic whack-a-mole game and see how many points you are able to score. Play now! ++ Can you rescue them all? ++ “It reminds me of the classic mole arcade game. So much fun!” “It’s like the old times.”“The arcade fun now in my hands, Hamster Rescue is great.”HOW TO PLAY • Hit the balls with your mallet to release the hamsters • Do NOT hit the bombs • … that’s it! Disclaimer: While this App is completely free to play, some additional content can be purchased for real money in-game. If you do not want to use this feature, please turn off in-app purchases in your device's settings. Like our page on Facebook and be the first to know about our upcoming games and updates! http://fb.com/tappshq;Tapps Tecnologia da Informação Ltda.;444343830;00;1.1.2;6.0;2015-04-17;4+
au.com.webtopia.CHBFree;apple;Crazy Hamster Ball Free;Crazy Hamster Ball recently reached #1 over all apps in Canada.  Over 500,000 downloads!  Half a million people addicted to Crazy Hamster Ball can't be wrong. Find out why Crazy Hamster Ball has an average rating of 4.5 stars.────────────────It's up to you to control the Crazy Hamster Ball as he escapes from the Mad Scientist's Lab.  Gameplay is simple just tap the screen to jump, or hold to continue jumping.  Our crazy hero is running as fast as he can but he needs you to jump the many obstacles along the way.Crazy Hamster Ball could be one of the first 3 dimensional 2D platform games.  Pass through the suction tube to go deeper into the lab.  See future levels behind the one you're on.This highly addictive but simple game will keep you entertained for hours.There are a range of objects to help you,- Speed Ups (double your speed)- Boosters (jump higher)- Side Boosters (reverse direction)- Anti Gravity Switches (to run upside down)- Teleporters (to instantly teleport to another location)and much moreIf you get really stuck you can buy level skips or get them for free by taking the free megadeal.  Both are available from the store inside the app.Also don't forget to collect apples and clothing items to gain, points, achievements and unlock Hamster Modes.Hamster Modes:Crazy, Trendy, Smarty, Clowny, Pinky and ArmyYou can also unlock hamster modes in the store.Unlock them all!30 action packed levels are available and there's more in the full version available in the app store.;Poulet Maison Ptd Ltd;291824239;00;1.0.1;3.2;2012-09-24;4+
com.avatarlabs.rhinoball;apple;RhinoBall;Straight from Walt Disney Pictures animated comedy BOLT, Rhino the hamster is on a roll and trying to get to his favorite TV super dog as fast as he can.Tilt your iPhone forwards, backwards, left and right to guide Rhino through the city streets, avoiding cars and other obstacles on your way to the finish line.  Collect bonus lightning bolts and hit the launching ramps for a FULLY AWESOME adventure!How fast can you go?  Let it begin!;AvatarLabs;294531477;00;1.4;2.2.1;2010-10-25;4+
br.com.tapps.hamsterroll;apple;Hamster Roll - Cute Pet in a Running Wheel Platform Game;You’ve never seen hamsters in such a roll! Lead Honey and its friends through unexplored depths in this irresistible, cute and challenging platform game. Use touch or accelerometer controls in this fast-paced adventure to go as further as possible without going off the top of the screen. "An addictive game for people of all ages! A must have!" -- Best iPhone Games “One of the best and most entertaining fall down games we’ve played so far.” -- iOS Arcade “4/4 - Fall down revisited! You won’t regret this download.” -- MobiAddiction HIGHLIGHTS • 13 unique pet hamsters: Honey, Cake, Sugar, Cinnamon, Pudding, Cookie, Mousse, Coffee, Cream, Bubblegum, Smoky, Lucky and Cosmo. Get them all! • Special power-ups to aid your journey! • Two control modes: touch and accelerometer! • Fabulous illustrations! Disclaimer: While this App is completely free to play, some additional content can be purchased for real money in-game. If you do not want to use this feature, please turn off in-app purchases in your device's settings.Like our page on Facebook and be the first to know about our upcoming games and updates! http://fb.com/tappshq;Tapps Tecnologia da Informação Ltda.;444343830;00;1.1.2;6.0;2015-05-07;4+
com.funworksstudio.littlestsmarthamster;apple;Littlest Smart Hamster Pet Shop - Cage For My Friendly Pets;*** Help The Cute Hamsters Go Back To Their Cage ! *** It's time for the hamsters back to their cage and get some rest, your mission is to seperate the healthy and sick hamsters.Healthy hamsters are back to the cage on left side,sick hamsters are move to pet hospital on right side.To achieve an outstanding score in the world rankings, you'll need to complete the level as fast as possible. Seems easy right ? Try for yourself and challenge all 3 game modes ! --- How to play ---The controls are simple, press the left arrow to bring the healthy hamsters back to the cage, and press the right arrow to bring the sick hamsters move to the pet hospital.;Funworks Studio Co. Ltd.;399191920;00;1.0.1;7.0;2016-08-23;4+
com.JessicaMorris.GuineaPigEscape;apple;Hamster Jump Hero - Crazy Ball Bounce Wheel;Join Hammy the Hamster on his fun jumping adventure to escape the cage! Tap, jump, and hop through endless levels of  addictive action. Fun for the kids and the entire family! FEATURES - Endless run style game play- Cute and fun sound and design- Collect apples to get upgrades- Avoid the stinky bees- Most importantly... BEAT your friends!HOW TO PLAY: Tap to jump off of one ball to the next. Time your jumps to collect apples and avoid bees. Collect as many treasures as possible to maximize your score on your adventure! Having problems or want to leave us some feedback? We would love to hear from you! You can shoot us an email at support@yololabs.com.;Phillip Kung;658900332;00;1.0;4.3;2015-05-10;4+
com.funworksstudio.hamsterland;apple;Hamster Land - Cute Pets Hamsters Column Matches Up Games;*** Welcome To The Challenges Of The Cute Hamster Land ! ***In the world of the hamsters, there are many rows formed from different color of hamster, tap the same hamster buttons will clear rows of hamster. Let's see how fast your reaction is !60 seconds is all you have to complete the game,How many rows can you clear in a minute ?Seems easy right ? Try for yourself and challenge both game modes ! Get a good score and challenge players and friends on the leaderboards !;Funworks Studio Co. Ltd.;399191920;00;1.0;7.0;2016-02-07;4+
com.funworksstudio.hamsterdojo;apple;Hamster Dojo - Best Fun Pocket Games Play With My Littlest Pet Hamsters;*** Let's enter the Hamster Dojo and challenge yourself ! ***Wanna test out your reaction speed with the cute hamsters ?The game is easy, tap to change the bigger hamsterand match the smaller hamster, then send it up.Let's see how fast your reaction is !60 seconds is all you have to complete the game,How many scores do you think you can get in a minute?Seems easy right ? Try for yourself and challenge both game modes ! Get a good score and challenge players and friends on the leaderboards !;Funworks Studio Co. Ltd.;399191920;00;1.0;7.0;2016-01-09;4+
jp.dan-ball.hamrace;apple;Ham Race;Hamsters' spinning race game. Keep two hamsters running in their wheel to reach the goal.The left button spins the rear wheel while the right button spins the front wheel. Wheels roll lightly by pressing both buttons!The energy decreases as the wheels spin. Be careful! When the energy turns to zero, you can't move the wheels!;DAN-BALL;348592290;00;2.3.0;8.0;2019-05-17;4+
com.ammonite.hammy;apple;HAMMY;The ultimate hamster ball game!Experience the high octane thrill of being a hamster in a ball as you navigate Hammy through an ever-changing course of challenging obstacles and geometry at rapid speed while attempting to pick up as many collectables and powerups as you can!Challenge yourself to beat your best distances, improve your averages and unlock new Hammies and customise your hamster ball!;Ammonite Design Studios Ltd;460176444;00;1.1;9.0;2019-02-18;9+
com.niponph.bounceingball;apple;Easy Red Ball Bouncer - Bouncing Ball Endless Game!;In my town, Every Sunday boy & girl play basketball by bouncing ball and shoot ball. they try to bounce the ball to reach at the goal. so I got the idea to do this game.In this game you can play and bounce the ball and try to avoid wormwood and get high score as you can. This is game can help you a lot of killing the time. you can play everywhere you need to have some fun while waiting for something. Thanks everyone to interest my game and hope you will enjoy with this. any feedback please leave we will continue update it.;nipon phuhoi;877194588;00;1.1;5.1.1;2015-08-18;4+
com.SiDesign.supergerball;apple;Super Gerball;Gerry the gerbil has his eye on some shiny balls!In particular, Gerry loves shiny GOLD balls.In order for Gerry to get his hands on some shiny gold balls, he must spin and roll across 50 levels contained within 5 rooms of Gerry's house!Gerry's house is not just any house though! No, Gerry's house is very dangerous. It contains many traps and hazards that Gerry might bump into, but worst of all - Gerry might fall off the edge of a level, and SMASH his own ball into a million tiny pieces!So what are you waiting for - hurry and help Gerry collect his shiny balls!Game features:* Amazing 3D graphics - push your iPhone and iPad to the max and see what it can do!* 60fps  - silky smooth gameplay!* Full 3D ball physics - playing with a gerbil has never been so much fun!* 50 levels - from the weird and wonderful to the twisted and tormenting!* 5 stages - starting from the beautiful green garden and ending with the spooky...???* 5 a-maze-ing levels - will you reach the end??* 3 unique endings - play well and watch all three wonderful endings!* 51 online high scores tables - are you the best in the world?* 5 player profiles - all the family can play!;Si Design;364380834;099;1.33;8.0;2018-02-12;4+
com.funworksstudio.hamster100;apple;Hamster 100 Adorable Pet Friends;*** A Cute Hamster Game Is Waiting For Your Challenge ! ***Want to test out your reaction speed with the cute hamsters ??Then challenge this game that requires the matching of 100 hamster !You'll need very quick hand-eye coordination, a little delay will affect your results !Seems easy right ? Try for yourself ! Get a good score and challenge players and friends on the leaderboards !;Funworks Studio Co. Ltd.;399191920;00;1.0;7.0;2016-01-23;4+
com.ibc.mobile;apple;Hamsterball;Hamsterball แอปรวบรวมข่าวสารฟุตบอลไว้ให้แฟนบอลที่ได้อยากรับทราบข้อมูลอย่างรวดเร็ว;Chalermpol Klinpratum;1363875703;00;1.2;10.0;2019-10-11;17+
com.niponph.ballup;apple;Easy Ball Up - Tab Ball Up Endless Game!;Tap Red Ball 3D on top ! you can simply to tab the ball and avoid obstacles (Windmill and platforms). try to get the high scores as you can. it's simple and easy to play for time killing. Thanks for everyone download and play ! This is kind of endless game that you can play for relaxing and get a good experience.;nipon phuhoi;877194588;00;1.2;5.1.1;2015-08-18;4+
